"Country","COUNTRY","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HealthExp","MedicalDoctors","HospitalBeds","Internet","Literacy","capital","SchoolYears","Unemployment","GDP"
"111","South Korea","KOR","Asia","East Asia & Pacific",83.3047,2.4681,51361.911,21.95402,0.75403,9.33,25.078,124.3,84.1,98.8000030517578,"Seoul",13.5934190750122,2.788,33719.38642033
"112","Kuwait","KWT","Asia","Middle East & North Africa",80.96625,7.4781,4124.904,64.07714,1.77178,5.78,22.934,20.4,79.1782,96.4575424194336,"Kuwait City",12.0337619781494,2.482,26913.8011551844
"113","Laos","LAO","Asia","East Asia & Pacific",68.51331,34.22097,6997.917,24.87117,9.42083,2.74,3.265,15,10.74768,87.5199966430664,"Vientiane",10.614652633667,2.633,2599.20507892295
"114","Lebanon","LBN","Asia","Middle East & North Africa",76.43958,7.05086,6109.252,24.614,1.79002,10.06,26.17,27.3,61.24979,95.3000030517578,"Beirut",10.1555166244507,12.635,6107.45470909137
"115","Liberia","LBR","Africa","Sub-Saharan Africa",64.07872,56.72305,4796.631,35.79581,14.77516,16.62,0.503,8,3.7941,48.3013610839844,"Monrovia",4.15698862075806,3.634,646.501159893738
"116","Libya","LBY","Africa","Middle East & North Africa",75.77909,9.21937,6378.261,30.2143,0.87227,4.02,21.568,32,19.8637,76.5,"Tripoli",NA,20.68,8150.631713421
"117","St. Lucia","LCA","Americas","Latin America & Caribbean",74.32764,22.43721,177.163,8.93856,33.69136,6.21,6.546,12.97213,48.6281,NA,NA,12.6871833801269,17.362,10802.6557167098
"118","Liechtenstein","LIE","Europe","Europe & Central Asia",NA,NA,37.889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167809.269874833
"119","Sri Lanka","LKA","Asia","South Asia",76.86693,5.76983,21444,23.14751,4.06247,4.07,11.924,41.5,18.2854,92.4290313720703,"Colombo",13.2221622467041,6.705,3988.08015990353
"120","Lesotho","LSO","Africa","Sub-Saharan Africa",50.74881,56.9583,2170.617,18.5466,69.92583,10.21,4.54,13,4.58962,82.0100021362305,"Maseru",10.0436792373657,18.039,950.648784235823
"121","Lithuania","LTU","Europe","Europe & Central Asia",75.99383,2.71113,2828.403,9.38725,7.39919,7.82,49.503,64.3,68,99.8300018310547,"Vilnius",13.8328495025635,5.569,18535.0779663478
"122","Luxembourg","LUX","Europe","Europe & Central Asia",82.41467,2.23748,596.336,9.10785,0.50137,5.67,29.851,42.6,92,NA,NA,12.4221620559692,4.698,109714.924316129
"123","Latvia","LVA","Europe","Europe & Central Asia",75.37604,3.16284,1942.248,14.13153,4.95515,9.04,33.451,54.9,74,99.8899993896484,"Riga",13.6181030273438,6.429,17081.3427820803
"124","Macao SAR China","MAC","Asia","East Asia & Pacific",NA,NA,638.609,NA,NA,NA,NA,NA,NA,97.1100006103516,"",12.9030666351318,2.627,32482.920552713
